GENESIS-Tabelle: 12111-12-01-4
Bevölkerung nach Geschlecht, Erwerbsstatus;;;;;;;;;;;;;
und Altersgruppen - Stichtag 09.05.2011 -;;;;;;;;;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;;
Zensus 2011;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;
;;;Bevölkerung nach Erwerbsstatus;Erwerbspersonen;Erwerbstätige;Erwerbstätige;Erwerbstätige;Erwerbslose;Erwerbslose;Erwerbslose;Nichterwerbspersonen;Nichterwerbspersonen;Nichterwerbspersonen
;;;;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
12053;      Frankfurt (Oder), kreisfreie Stadt;30 bis unter 35 Jahre;3490;3140;2670;1390;1280;/;/;/;/;/;/
12053;      Frankfurt (Oder), kreisfreie Stadt;35 bis unter 40 Jahre;2770;2560;2390;1190;1200;/;/;/;/;/;/
12053;      Frankfurt (Oder), kreisfreie Stadt;40 bis unter 45 Jahre;3660;3480;3270;1830;1440;/;/;/;/;/;/
12053;      Frankfurt (Oder), kreisfreie Stadt;45 bis unter 50 Jahre;5090;4590;4280;2100;2170;/;/;/;500;/;/
12053;      Frankfurt (Oder), kreisfreie Stadt;50 bis unter 55 Jahre;5220;4550;4150;1990;2160;400;/;/;670;/;410
12053;      Frankfurt (Oder), kreisfreie Stadt;55 bis unter 60 Jahre;5010;4100;3660;1770;1890;440;/;/;910;440;470
12053;      Frankfurt (Oder), kreisfreie Stadt;60 bis unter 65 Jahre;3360;1870;1720;900;820;/;/;/;1500;700;790
12053;      Frankfurt (Oder), kreisfreie Stadt;65 bis unter 70 Jahre;3460;/;/;/;/;/;/;/;3180;1390;1790
12053;      Frankfurt (Oder), kreisfreie Stadt;70 bis unter 75 Jahre;4140;/;/;/;/;/;/;/;3990;1700;2280
12053;      Frankfurt (Oder), kreisfreie Stadt;75 bis unter 80 Jahre;3140;/;/;/;/;/;/;/;3010;1220;1790
12053;      Frankfurt (Oder), kreisfreie Stadt;80 bis unter 85 Jahre;1690;/;/;/;/;/;/;/;1680;680;1010
12053;      Frankfurt (Oder), kreisfreie Stadt;85 bis unter 90 Jahre;750;/;/;/;/;/;/;/;750;/;570
12053;      Frankfurt (Oder), kreisfreie Stadt;90 Jahre und mehr;400;/;/;/;/;/;/;/;400;/;/
12053;      Frankfurt (Oder), kreisfreie Stadt;Insgesamt;58610;31700;28710;14570;14140;2990;1470;1520;26910;11970;14940
12054;      Potsdam, kreisfreie Stadt;unter 5 Jahre;8200;x;x;x;x;x;x;x;8200;4680;3510
12054;      Potsdam, kreisfreie Stadt;5 bis unter 10 Jahre;7720;x;x;x;x;x;x;x;7720;3770;3950
12054;      Potsdam, kreisfreie Stadt;10 bis unter 15 Jahre;5550;x;x;x;x;x;x;x;5550;2760;2790
12054;      Potsdam, kreisfreie Stadt;15 bis unter 20 Jahre;3830;1460;1320;/;600;/;/;/;2370;1380;990
12054;      Potsdam, kreisfreie Stadt;20 bis unter 25 Jahre;11480;8450;7820;3830;3990;/;/;/;3030;1070;1970
12054;      Potsdam, kreisfreie Stadt;25 bis unter 30 Jahre;13260;11310;10690;5040;5640;/;/;/;1950;850;1100
12054;      Potsdam, kreisfreie Stadt;30 bis unter 35 Jahre;12400;11610;11270;5460;5810;/;/;/;800;/;/
12054;      Potsdam, kreisfreie Stadt;35 bis unter 40 Jahre;10470;9760;9380;5180;4200;/;/;/;710;/;/
12054;      Potsdam, kreisfreie Stadt;40 bis unter 45 Jahre;10760;10050;9540;4970;4570;/;/;/;/;/;/
